Address,Opening hours,location,Event description,page
"Roving Van @ The Warehouse 149 Victoria St, Dargaville",10am : 6pm,,Te Ha Oranga – Kai/$2000 worth of prizes,Northland
"Te Pōtahi Marae, Te Kao",10:30am : 6pm,,Whakawhiti Ora Pai - music/kai/activities/prizes,Northland
"Bank St Medical, 121 Bank St Whangārei",7:30am : tbc,,Bank St Medical,Northland
"Buchanans Pharmacy, 81 Paramount Parade, Tikipunga",9am : 2pm,,Buchanans Pharmacy,Northland
"Northland DHB, Semenoff Stadium, 51 Okara Drive, Whangārei",9am : 4pm,,Northland DHB - Food/Fancy Dress/Ka Pai prize draw,Northland
"Northland DHB, The Old Warehouse, Matthews Ave, Kaitaia",11.30am : 6.30pm,,Northland DHB - Food/Fancy Dress/Ka Pai prize draw,Northland
"Northland DHB, Kerikeri Sports Complex, Waipapa Road, Kerikeri",9am : 4pm,,Northland DHB - Food/Fancy Dress/Ka Pai prize draw,Northland
"Hokianga Hospital, Honey St, Rawene",9am : 3pm,,Hauora Hokianga - Kawhe/Kai/Kōrero with Medical Officer of Health there to answer queries,Northland
"Raumanga Medical Centre, 170 Otaika Rd, Whangārei",9am : noon,,Raumanga Medical Centre,Northland
"David's Pharmacy, 6/4 Three Mile Bush Road, Kamo",9am : noon,,David's Pharmacy - Free coffees & hot chocolate,Northland
"The Doctors Tui, 425 Maunu Road, Whangārei",,,The Doctors Tui - Spot prizes,Northland
"Ōhaeawai Rugby Clubrooms, 6066 SH12, Ōhaewai",9am: 5pm,,Te Hau Ora O Ngāpuhi - Sausage sizzle/giveaways/bickies,Northland
"Hūpā Hātarei, Waikare Ave, Kāeo",10am : 2pm,,Te Rūnanga o Whaingaroa - Giveaways/Get vaccinated & select your Marae for prize draw,Northland
"Te Rarawa Clubrooms, 252 Ahipara Rd, Ahipara",10am : 2pm,,Te Hiku Hauora,Northland
"Moerewa Rugby Club, Simson Park, Moerewa",9am : 4pm,,Ngāti Hine Health Trust - Free kai/ entertainment/prizes,Northland
"Mokau Marae, 2355 Russell Road, Ōakura",10am : 1pm,,Te Hau Āwhiowhio Health Centre - Spot prizes/kai,Northland
"Ngāti Hine Health Trust, 5 Walter Street, Whangārei",10am : 2pm,,Ngāti Hine Health Trust - Fancy dress/spot prizes,Northland
"Coast to Coast Hauora Trust, 72 School Road, Wellsford",9am : 4pm,,Coast to Coast Health Care,Northland
"Mangawhai Medical Centre, 4 Fagan Place, Mangawhai",9am : 4pm,,Coast to Coast Health Care,Northland
"Paparoa Medical Centre, State Highway 12, Paparoa",9am : 4pm,,Coast to Coast Health Care,Northland
"Broadway Health, 36 Broadway, Kaikohe",9am : 4pm,,Broadway Health,Northland
"KeriMed Doctors, 2 Rānui Avenue, Kerikeri",,,KeriMed Doctors,Northland
"Bream Bay Medical Centre, Shop 22, Ruakākā Town Centre, Marsden Point Road, Ruakākā",,,Bream Bay Medical Centre,Northland
"James Street Doctors, Level 2/1 James Street, Whangārei",,,James St Doctors,Northland
"Te Aroha Noa Medical Centre, 73 Bank Street, Whangārei",,,Te Aroha Noa Medical Centre,Northland
"Te Whareora Ō Tikipunga, 157 Kiripaka Road, Tikipunga, Whangārei",,,Te Whareora Ō Tikipunga,Northland
"The Doctors Tikipunga, 53 Paramount Parade, Tikipunga, Whangārei",,,The Doctors Tikipunga,Northland
"Te Houhanga A Rongo Marae, Station Rd, Dargaville",11am -2pm,,Te Houhanga - Spot Prizes,Northland
"Aurora Health Centre, 70 Macandrew Road, South Dunedin",1pm to 6.30pm,,Super accessible vaccination centres,Otago
"Bates Pharmacy, 40 Clyde Street, Balclutha",1pm to 6.30pm,,Super accessible vaccination centres,Otago
"Wanaka Medical Centre, 23 Cardrona Valley Road, Wanaka",9:30am to 12:30pm and 1pm to 6pm,,Super accessible vaccination centres,Otago
Alexandra Family Medical, 10am-2pm,Central Otago,,Otago
"Cromwell Pharmacy, Cromwell"," 10am-12.30pm, 1pm-3.30pm",Central Otago,"Live music, home baking and refreshments, sausage sizzle, spot prizes including scenic flights",Otago
"* Health Central, Alexandra"," 9.30am-12.30pm, 2.30pm-5.30pm",Central Otago,,Otago
"Roxburgh Medical Centre, Roxburgh", 10am-2pm,Central Otago,,Otago
"Unichem Alexandra, Alexandra", 9.30am-12pm,Central Otago,,Otago
Bates Pharmacy, 1pm-6.30pm,Clutha,,Otago
* Catlins Medical Centre," 10am-12pm, 1pm-3pm",Clutha,,Otago
* Clutha Health First," 9am-12pm, 1.30pm -4.10pm",Clutha,,Otago
Silver Fern Farms drive through, 9am-4pm,Clutha,Free meat giveaways,Otago
* West Otago Health, 4pm-8pm,Clutha,,Otago
The Octagon Super Saturday, 10am-3pm,Dunedin,"Food trucks, vouchers for vaccinations, live music, street performers",Otago
Albany Street Pharmacy, 10am-1pm,Dunedin,,Otago
Anderson's Exchange Pharmacy, 9am-12.30pm,Dunedin,Voucher prize draw and goody bags,Otago
Antidote Gardens, 9.15am-8pm,Dunedin,,Otago
Antidote Macandrew, 9am-5pm,Dunedin,,Otago
Antidote Meridian, 9am-4.30pm,Dunedin,,Otago
* Aurora Health Centre, 9.30am-1.30pm,Dunedin,,Otago
Bargain Chemist, 10am-4.45pm,Dunedin,,Otago
Dunedin Health Centre, 9am-1pm,Dunedin,,Otago
Gardens Medical Centre, 9.30am-12.30pm,Dunedin,,Otago
Green Island Boutique Pharmacy, 10am-11.45am,Dunedin,,Otago
Larsons Pharmacy," 10am-12.45pm, 1.30pm-5.45pm",Dunedin,,Otago
Life Pharmacy Dunedin," 10am-1pm, 2pm-4.20pm",Dunedin,"Cookies, wax treatment giveaways, 15% off purchase and bonus Living Rewards Points",Otago
McNaughton's Pharmacy, 9am-12pm,Dunedin,,Otago
"Meridian Mall, Lower Ground Floor, 267 George Street", 9.30am-5pm,Dunedin,Ice cream,Otago
Mornington Pharmacy, 9.30am-5pm,Dunedin,Coffee and ice cream available,Otago
Mornington Health Centre, 9.30am-1.30pm,Dunedin,Sausage sizzle and a $200 prezzie card prize draw,Otago
Mosgiel Health Centre," 9am-12.30pm, 1.30pm-4pm",Dunedin,,Otago
Pacific Trust Otago, 10am-3pm,Dunedin,Music and kai,Otago
* Pitt Street Medical Centre, 10am-2pm,Dunedin,,Otago
Port Chalmers Pharmacy, 9am-2.45pm,Dunedin,,Otago
* Roslyn Medical Centre, 9am-12pm,Dunedin,,Otago
Roslyn Pharmacy, 10am-4pm,Dunedin,,Otago
"Te Kāika, Victoria Road", 9am-4pm,Dunedin,Music and kai,Otago
Unichem Central Pharmacy Mosgiel, 9.40am-1.40pm,Dunedin,,Otago
Unichem Centre City Pharmacy, 10am-4.15pm,Dunedin,,Otago
Unichem Knox Pharmacy, 11am-4pm,Dunedin,,Otago
Unichem Taieri Pharmacy, 9am-2pm,Dunedin,,Otago
Gore Health Centre, 10am-3pm,Gore,,Otago
Gore Medical Centre, 10am-3pm,Gore,,Otago
La Hood's Chemist, 10am-4pm,Gore,,Otago
Catherine Street Medical Centre, 10am-12pm,Invercargill,,Otago
* Glengarry Medical Centre, 10am-4pm,Invercargill,,Otago
He Puna Waiora at Pacific Island Advisory & Cultural Trust, 10am-3pm,Invercargill,Music and kai,Otago
* South City Medical Centre, 10am-3pm,Invercargill,,Otago
Stewarts Pharmacy, 10am-2pm,Invercargill,,Otago
Queens Park General Practice, 10am-2pm,Invercargill,,Otago
Unichem South City Pharmacy, 10am-4pm,Invercargill,,Otago
* Victoria Avenue Medical Centre, 10am-1pm,Invercargill,,Otago
"Victoria Room, First Floor, Civic Centre, 88 Tay Street", 9am-4pm,Invercargill,ice cream,Otago
* Waikiwi Medical Centre, 11am-1.30pm,Invercargill,,Otago
Waikiwi Pharmacy, 1pm-4.30pm,Invercargill,Coffee available,Otago
Windsor Pharmacy, 10am-2pm,Invercargill,,Otago
Antidote Queenstown,"11am-1pm, 2pm-4pm",Queenstown Lakes,,Otago
"*Aspiring Medical Centre, Wanaka"," 9.30am-12.30pm, 1pm-5pm (appointments are preferred but not required)",Queenstown Lakes,,Otago
"Engage Safety, 18 Glenda Drive, Queenstown", 10am-4pm,Queenstown Lakes,,Otago
"Five Mile Pharmacy, Queenstown", 11am-3pm,Queenstown Lakes,Voucher prize draw,Otago
"Lakes Hayes Pavillion, Queenstown", 10am-3pm,Queenstown Lakes,,Otago
"Life Pharmacy Wilkinsons, Queenstown"," 9am-1pm, 2pm-7pm",Queenstown Lakes,,Otago
* Queenstown Medical Centre, 9am-4pm,Queenstown Lakes,,Otago
Queenstown Pharmacy," 10am-1pm, 2pm-5pm",Queenstown Lakes,,Otago
"Remarkables Pharmacy, Queenstown"," 9am-12pm, 1pm-5.30pm",Queenstown Lakes,,Otago
"TSS Earnslaw, Queenstown", 7.30am-11am,Queenstown Lakes,"Free coffee, free tour and the chance to win a Walter Peak’s famous Gourmet BBQ lunch, RealNZ Milford Sound Cruises, Doubtful Sound Wilderness Cruises and Jet Boat rides.",Otago
Unichem Summerfields Pharmacy, 9.15am-1.45pm,Queenstown Lakes,,Otago
* Wanaka Medical Centre (at the Old Mitre 10 on Cliff Wilson Drive)," 9:30am-12:30pm, 1pm-6pm (Drive-though clinic, appointments are preferred but not required)",Queenstown Lakes,,Otago
Otautau Medical Centre, 10am-2pm,Southland,,Otago
Winton Pharmacy, 12pm-3.30pm,Southland,Raffle and spot prizes,Otago
"East Otago Health, Palmerston", 10am-2pm,Waitaki,,Otago
"* Kurow Medical Centre, Twizel"," 9am-1pm, 1:30pm-3.30pm",Waitaki,,Otago
"* North End Medical, Oamaru"," 9am-1pm, 1pm-2pm",Waitaki,,Otago
"North End Pharmacy, Oamaru", 10am-12pm,Waitaki,,Otago
"North Otago Dispensary, Oamaru", 10am-1pm,Waitaki,,Otago
"* Oamaru Doctors, Oamaru"," 9.30am-12.30pm, 1.30pm - 4.30pm",Waitaki,,Otago
Oamaru Pharmacy," 1pm-3.30pm, 4pm-7pm",Waitaki,Lucky dip giveaway,Otago
"Papakaio Community Hall, Oamaru", 10am-3pm,Waitaki,,Otago
"Rotorua COVID-19 community vaccination centre (hub), Central Mall, Amohau Street",8am to 6pm,Rotorua,,Rotorua and Taupō
"Te Arawa COVID-19 Drive Through, 33 Clayton Road (former Foodstuffs distribution centre)",12 noon to 6pm,Rotorua,,Rotorua and Taupō
"Unichem Central Pharmacy, 1181 Amohia Street",9:30 to 4:30pm,Rotorua,,Rotorua and Taupō
"Unichem Central Mall, Amohau Street",9am to 5:30pm,Rotorua,,Rotorua and Taupō
"Fordlands Community Centre, Bellingham Crescent",10am to 2pm,Rotorua,,Rotorua and Taupō
"Ranolf Medical Centre, 59 Ranolf Street",10am to 2pm,Rotorua,,Rotorua and Taupō
"Unichem Mainstreet Pharmacy, Tongariro Street, Taupō",5:30pm to 7:30pm,Taupō,,Rotorua and Taupō
"Taupō COVID-19 community vaccination centre, 6/29 Totara Street, Taupō",8am to 6pm,Taupō,,Rotorua and Taupō
"Tuwharetoa Health & Pihanga Health Drive through, health centre car park, Tūrangi",9am to 4:45pm,Taupō,,Rotorua and Taupō
"Taupō COVID-19 Community Vaccination Centre, Totara Street, Taupō",8am to 6pm,Super accessible vaccination centres,,Rotorua and Taupō
"Rotorua COVID-19 Community Vaccination Centre, Central Mall, 1170 Amohau Street, Rotorua",8am to 6pm,Super accessible vaccination centres,,Rotorua and Taupō
"La Hood's Chemist, 43 Main Street, Gore",10am to 11:30am,Gore,,Southland
"Gore Health Centre, 9 Birch Lane, Gore",10am to 3pm,Gore,,Southland
"Gore Medical Centre, 9 Birch Lane, Gore",10am to 3pm,Gore,,Southland
"Victoria Avenue Medical Centre, 60 Victoria Avenue, Invercargill",10am to 1pm,Invercargill,,Southland
"Waikiwi Medical Centre, 233C North Road, Invercargill",11am to 1:30pm,Invercargill,,Southland
"South City Medical Centre, 270 Elles Road, Invercargill",10am to 3pm,Invercargill,,Southland
"Glengarry Medical Centre, 75 Glengarry Crescent, Invercargill",10am to 4pm,Invercargill,,Southland
"Catherine Street Medical Centre, 63 Catherine Street, Invercargill,",10am to 12pm,Invercargill,,Southland
"Pacific Island Advisory & Cultural Trust, 135 Bowmont Street, Invercargill",10am to 3pm,Invercargill,,Southland
"Waikiwi Pharmacy, 280 North Road, Invercargill",1pm to 4.30pm,Invercargill,,Southland
"Stewarts Pharmacy, 150 Dee Street, Invercargill",10am to 2pm,Invercargill,,Southland
"Queens Park General Practice, 97 Gala Street, Invercargill",10am to 2pm,Invercargill,,Southland
"Unichem South City Pharmacy, 248 Ellis Road, Invercargill",10am to 4pm,Invercargill,,Southland
"Winton Pharmacy, 266 Great North Road, Winton",12 noon to 3:30pm,Winton,,Southland
"New Plymouth Hub, 109 Powderham Street, New Plymouth",9am to 5pm,,Super accessible vaccination centres,Taranaki
"Hawera Hub, 17 Camberwell Road, Hawera, New Plymouth",9:30am to 3.30pm,,Super accessible vaccination centres,Taranaki
"Ngāmotu Kindergarten, 39 Marama Crescent",11am - 2pm,NEW PLYMOUTH,Community barbecue for all and activities for the tamariki.,Taranaki
"Barrett’s Lounge (next door to the hospital café), Base Hospital","
        10am - 3pm",NEW PLYMOUTH,,Taranaki
109 Powderham Street,9am – 5pm,NEW PLYMOUTH,Community BBQ and Subway cookie giveaway from 10am - 3pm.,Taranaki
"Ngāmotu Road, Moturoa",9am - 4pm,NEW PLYMOUTH,Go in the draw to win one of three prizes. Enjoy music from the DJ on site.,Taranaki
99 Tukapa Street,9am - 4.30pm,NEW PLYMOUTH,Doctors will be available to answer any questions about the vaccine.,Taranaki
"The Warehouse, Bell Block",12pm – 2pm,NEW PLYMOUTH,"The Warehouse, New Plymouth, 
	     9am – 3.30pm",Taranaki
32 Carthew Street,10am - 3pm,ŌKATO,"All welcome – free community barbecue run by the Rapid Relief Team. 
	       If you need help with transport call 0800 787 254 (press 2, then 1 for Taranaki).",Taranaki
"26 Napier Street, Ōpunake",10am – 3pm,ŌPUNAKE,"All welcome, If you need help with transport please call Community         Transport on 0800 223 390",Taranaki
"Countdown, Stratford",9am – 12pm,STRATFORD,BBQ will be running during the day at both supermarkets.  Everyone vaccinated on the day will go into the draw to win one of 20 x $250 Contact Power Vouchers.,Taranaki
"139 Miranda Street, all day",no appointment necessary,STRATFORD,Anyone vaccinated on the day will go into a draw to win a $100 Countdown gift card.,Taranaki
"TSB Hub, Camberwell Road",9am – 3pm,HĀWERA,Community BBQ giveaway from 10am - 3pm.,Taranaki
"South Road, outside Hāwera Intermediate", 9am,HĀWERA,Free sausage sizzles and snacks. Prizes up for grabs and a whānau enviornment where no one is left behind.,Taranaki
"High Street entrance, Hāwera", 9am-4:30pm,HĀWERA,,Taranaki
Beach House Cafe,24 Marine Parade,WAITARA,Friendly vaccination staff will be on hand to chat through any concerns.,Taranaki
32 Queen Street,10am - 3pm,WAITARA,"$20 New World voucher for all those vaccinated.	       $20 will be donated to the Waitara Food Bank for every person that is vaccinated. 
	       Free sausage sizzle and coffee cart. 
	       Prize draw for $200 grocery hamper. 
	       Prize draw for a UE Boom for all those 12-18 years who are vaccinated on the day.",Taranaki
"Te Awa The Base, Hamilton",9am to 5pm,,Super accessible vaccination centres,Waikato
"Cambridge Community Marae, 3 Bracken Street, Leamington, Cambridge",9am to 4pm,,Super accessible vaccination centres,Waikato
"Knox Presbyterian Church Morrinsville, 49 Canada Street, Morrinsville",9am to 4pm,,Super accessible vaccination centres,Waikato
"Te Awamutu Community Vaccination Centre, 44 Arawata Street, Te Awamutu",9am to 4pm,,Super accessible vaccination centres,Waikato
"Kāpiti Community Vaccination Centre, 45b Te Roto Drive, Kapiti",9am to 4pm,Kāpiti,"Mr Whippy food truck, live DJ, free coffee at Waikanae market, drive-through vaccinations",Wellington
"Whakarongotai Marae, 2/4 Mahara Place, Waikanae",10am to 4pm,Kāpiti,"Free coffee at Waikanae markets for vaccinated people plus local healthy eating vouchers, walk-in vaccinations",Wellington
"Ngā Hapū o Ōtaki, The Māoriland Hub, 68 Main Street Ōtaki",10am to 4pm,Kāpiti,"Free kai, prizes and movies on big screen",Wellington
"Life Pharmacy Queensgate, Shop 130 Queensgate Shopping Centre, Cnr Queens Drive and Bunny Street",9am to 5pm,Lower Hutt,"Free coffee and hand sanitiser with every vaccination, plus instore offers",Wellington
"Delta BUS-ter at ReMakery in Fairfield, 310 Waiwhetu Road, Lower Hutt",10am to 3pm,Lower Hutt,Bus vaccination and shared kai with pots of soup,Wellington
"CoCo Community Pop up in Naenae, Shop 11, Hillary Court, Naenae",10am to 3pm,Lower Hutt,iPhone and grocery voucher prize draws,Wellington
"218 High Street, Lower Hutt",9:30am to 4:30pm,Lower Hutt,Spin the wheel to win a prize,Wellington
"Wellworks Pharmacy Boulcott, 135 Witako Street, Epuni, Lower Hutt",9am to 3.30pm,Lower Hutt,Free glass of kombucha with vaccination,Wellington
"Ora Toa - Porirua City, 4 Lydney Place",8:30am to 6pm,Porirua,"Food parcels, games and spot prizes, walk-in vaccinations",Wellington
"Maraerora Health clinic, 216 Warspite Avenue, Porirua",9am to 1pm,Porirua,Free Supreme coffee for anyone who is vaccinated,Wellington
"Pasifika Youth Vax Festival, Bedford Street, Cannons Creek, Porirua (behind Cannons Creek shops)",9am to 5pm,Porirua,"Food stallls, local talent, craft, stalls, gaming",Wellington
"Takapuwahia Marae, 1 TeHiko Street, Porirua",10am to 4pm,Porirua,Hangi and Rongoa giveaways will be provided,Wellington
Life Pharmacy North City,9:30am to 5:30pm,Porirua,Free big block of Whittakers chocolate with every vaccination,Wellington
"Heretaunga Christian Centre, 51 Lane Street, Wallaceville, Upper Hutt",10am to 5pm,Upper Hutt,"Spot prizes, sausage sizzle, music",Wellington
"Whirinaki Whare Taonga Vaccination Centre, 836 Fergusson Drive, Upper Hutt",10am to 8pm,Upper Hutt,$2 coffees and free family passes to the Aquatic Centre,Wellington
"Mitre10 Mega Super Clinic, 159/167 Ngaumutawa Road, Masterton",10am to 4pm,Wairarapa,"Sizzling BBQs, Mr Whippy, prize draws, any tradie vaccinated is in to win $500 gift voucher, lots of stalls, spot prizes, health promotion",Wellington
"Masterton CVC, 35-37 Chapel Street, Level 2",10am to 7pm,Wairarapa,Kai,Wellington
"Carrington Park Clinic, Carrington Park, Carterton",10am to 4pm,Wairarapa,"Five $100 grocery vouchers up for grabs plus lots of stalls, kai, and spot prizes",Wellington
"Featherston CVC, 14 Wakefield Street",10am to 4pm,Wairarapa,Kai,Wellington
"Tekau Ma Iwa, 197 Chapel Street, Masterton",10am to 5pm,Wairarapa,Kai,Wellington
"Sky Stadium drive through event, 105 Waterloo Quay",9am to 4:15pm,Wellington,"Win Homegrown tickets, drive-through vaccinations",Wellington
"Karori Mall Vaccination Hub, 236 Karori Road",9am to 6pm,Wellington,"Giveaways, 4 draws of $200 Countdown voucher",Wellington
Newtown School — Waka Ora Kahungungu Service,10am to 4pm,Wellington,Free Petrol vouchers and Halaal BBQ sausages,Wellington
"Life Pharmacy Johnsonville, Shop 40, Johnsonville Shopping Centre, 16 Broderick Road",10am to 4pm,Wellington,Receive a Johnsonville Shopping Centre Muffin Break FREE coffee voucher with each vaccination. 1 free ic cream for each vaccination. While stocks last.,Wellington
"Life Pharmacy Manners Street, 50 Manners Street",10:30am to 3:30pm,Wellington,"Free donuts while stocks last, giveaways and instore offers for vaccination attendees.",Wellington
"Unichem Cuba Mall, 122 Cuba Mall",9am to 4:30pm,Wellington,Free coffee or chocolate bar with each vaccination.,Wellington
"Wellworks Pharmacy, 75 Taranaki Street",9am to 6pm,Wellington,Free glass of kombucha with vaccination.,Wellington
"Pasifika Youth Vaccination festival, Cannons Creek Cage, Porirua",9am to 5pm,Pacific vaccination events,,Wellington
"Carrington Park, Carterton",10am to 4pm,Super accessible vaccination centres,,Wellington
"Featherston Community Centre, 14 Wakefield St, Featherston",10am to 4pm,Super accessible vaccination centres,,Wellington
"195 Chapel St, Masterton",10am to 5pm,Super accessible vaccination centres,,Wellington
"Capital Gateway COVID-19 Vaccination Centre, Capital Gateway, Level 1, 20 Gateway Lane, Wellington",9am to 4:30pm,Super accessible vaccination centres,,Wellington
"Johnsonville Shopping Centre, Vaccination Centre",9am to 4pm,Super accessible vaccination centres,,Wellington
"Heretaunga Christian Centre, 51 Lane St, Upper Hutt",10am to 5pm,Super accessible vaccination centres,,Wellington
"Ora Toa COVID-19 VAccination Centre, Porirua, 4 Lydney Place",8:30am to 6pm,Super accessible vaccination centres,,Wellington
"Greymouth Aerodrome Drive Through, Merrick Street",10am to 4pm,,"Free ice-cream and free transport from Runanga, Blaketown and Cobden",West Coast
"Westport Masonic Lodge, 51 Russell Street",10am to 4pm,,Win one of 25 $100 vouchers,West Coast
